ham spam 
foreplay 0 1 
ntoa 0 2 
Experian 0 1 
Sexual 0 3 
Are 0 12 
offering 0 7 
ccng 1 0 
creating 1 0 
cum 0 1 
shots 2 0 
Stock 0 1 
Orders 0 4 
wasting 0 3 
Group 44 0 
DESIGN 0 2 
{YUr 1 0 
cut 1 5 
probably 3 5 
stave 0 1 
vvdonr 0 1 
weighed 1 0 
two 9 9 
SHIPPING 0 5 
moment 0 1 
TESTIMONIALS 0 1 
desired 0 1 
xiUiV@jump 1 0 
attack 0 1 
tisdale 1 0 
reported 1 2 
ncpf 0 1 
Diners 0 1 
distribute 1 1 
worried 1 3 
shout 0 1 
CEST 0 1 
cornhusker 1 0 
immigrants 0 1 
BUT 0 1 
inclination 0 1 
think 8 9 
ieau 0 1 
cvs 5 0 
participate 0 3 
Rue 0 1 
Eucommium 0 1 
diamond@skynet 1 0 
forbidden 0 1 
replaced 0 2 
EVERYTHING 0 4 
lottery 0 1 
services 3 14 
team 5 0 
shove 1 0 
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 0 1 
They 1 7 
BONUSES 0 1 
OTHER 0 10 
txu 3 0 
marketing 4 9 
filling 0 1 
cwg 7 0 
watch 3 5 
speech 0 1 
ephedra 0 1 
urchin 0 1 
marvia 1 0 
thing 4 5 
cwt 1 0 
vexatious 0 1 
HUGE 0 2 
sublingually 0 1 
participant 1 0 
domestic 0 1 
glare 0 1 
Aug 55 40 
kevin 17 1 
Amendment 0 1 
schumack 3 0 
%AB%AF%AE%AC%F 0 1 
SHOWCASES 0 4 
There 4 16 
paying 3 4 
dying 0 1 
holidays 0 1 
Search 2 5 
This 4 75 
ABSOLUTELY 0 2 
donation 1 0 
starts 1 0 
budget 1 3 
tech 0 2 
actual 4 1 
@Artic 0 1 
campus 0 1 
teco 11 0 
cyc 0 1 
inspected 0 1 
technologies 0 8 
kkik 0 1 
YEARS 0 1 
dfur 0 5 
These 0 14 
suited 1 0 
easiest 0 1 
Seed 0 6 
Recipients@dogma 0 4 
assume 1 0 
Mortgages 0 1 
QUOTE 0 1 
jeromy 0 1 
memory 1 5 
Busine 0 1 
Dennis 0 4 
ambiance 0 1 
farmers 0 1 
house 3 0 
Emai 0 1 
$max 1 0 
hitch 0 1 
perview 0 1 
Mountain 0 1 
NEXT 0 1 
GnuPG 1 0 
gentleness 0 1 
huntley 0 1 
emailisfun 0 2 
hours 11 14 
Purchase 0 1 
tvfy 0 1 
winernet 0 2 
start 7 7 
Ligus 0 1 
libraries 2 0 
effluvia 0 1 
PutPEEL 0 8 
stars 0 2 
sakamkzzwtlsan 0 1 
lifestyle 0 1 
Miami 0 1 
bypass 0 2 
unocal 1 0 
yttg 0 1 
short 2 2 
coadjutor 0 1 
MINUTES 0 1 
reducing 0 1 
finance 0 1 
rebecca 1 0 
optimised 1 0 
Amber 0 1 
Creep 0 1 
regulate 0 1 
obstacles 0 1 
Lenders 0 1 
complementary 0 1 
gland 0 1 
required 0 11 
bullhide 0 1 
easydns 0 9 
acomg@msn 0 1 
Importance 1 0 
unblock 0 2 
bagend 6 0 
Improvement 0 1 
coats 0 1 
karate 0 1 
pennies 0 1 
Computer 0 1 
specifically 0 2 
enter 3 7 
savings 0 7 
vacation@btamail 0 1 
entex 6 0 
gallery 1 0 
furiously 1 0 
latinate 0 1 
dates 0 1 
creative 0 3 
coast 1 0 
@nts 0 1 
anorthosite 0 1 
ailto 0 1 
efferent 0 1 
dolls 1 0 
requires 0 1 
ROBERTS 0 1 
Help 2 6 
Arizisaema 0 1 
da$ 0 1 
wacke 0 1 
MixViews 1 0 
BEGIN 1 0 
shamrock 0 2 
unknown 0 20 
anti 2 1 
xanax 0 2 
Sell 2 2 
assure 1 0 
uae 0 1 
consult 0 2 
Charges 0 1 
jackie 2 0 
Credi 0 1 
crutch 0 1 
DOLLARS 0 1 
$args} 4 0 
Anvil 0 1 
pipeline 9 0 
soccerdana@ecis 0 2 
Type 25 17 
Sensitivity 0 1 
Equivalence 0 1 
TAA 9 0 
mgigtg 0 1 
Strategies 0 1 
JEZeJ 1 0 
fetch 1 0 
randomly 0 2 
cdaly@localhost 1 0 
lonniesearchwell 0 1 
oasis 3 0 
newsgroups 0 2 
assitance 0 1 
compact 1 0 
speedy 0 1 
friendly 1 1 
tell 5 12 
possession 2 0 
dBBBBP 2 0 
TAX 0 2 
ResaleKansasCity 0 2 
italic 0 2 
shores 0 1 
lshqy 0 1 
Send 0 6 
caveman 0 1 
dan 1 0 
EXCITING 0 1 
Prince 0 1 
dap 0 1 
OrderE 0 1 
shows 1 0 
shown 1 5 
courtroom 0 1 
alterate 0 1 
prompting 1 0 
audible 0 1 
morphemic 0 1 
daw 0 1 
dBBBBb 1 0 
migrated 1 0 
day 19 24 
CAA 0 1 
latchtitmouse 0 1 
lyjbs 0 1 
CAC 0 1 
Making 0 1 
island 0 2 
created 4 3 
format 2 3 
xxanax 0 1 
glrls 0 1 
RAID 1 0 
water 0 1 
%BF%BB%BF%E 0 1 
stays 0 2 
CAN 1 2 
countless 0 1 
CAT 0 1 
ude 0 1 
everyy 0 1 
TCI 0 1 
LKaMT 1 0 
LKaMY 1 0 
San 0 1 
vlink 0 1 
tabernacle 0 1 
thinkwenice 0 1 
lindley 1 0 
Sat 26 27 
Digital 0 1 
logistics 2 1 
CBI 0 1 
kidneys 0 1 
homogeneity 0 1 
tend 2 0 
sixteen 0 2 
%FA%FC%F 0 1 
dated 10 0 
exotic 1 1 
annals 0 1 
Bad 0 1 
subscribe 2 14 
built 7 0 
therapy 0 3 
sbjz 0 1 
SUGGESTED 0 1 
concentration 0 1 
colleague 1 0 
diamond 0 2 
ufc 0 4 
tema 1 0 
confession 0 1 
third 2 3 
build 7 6 
rhinopez@aol 0 2 
wireless 2 1 
further 4 6 
Unseen 2 0 
berkshire 0 1 
D%A 0 2 
electronics 0 1 
dec 2 1 
D%F 0 3 
contracted 1 0 
Customer 0 2 
D%E 0 2 
dee 0 3 
Much 0 1 
areas 2 0 
@yahoo 0 7 
der 0 1 
CDR 2 0 
ashen 0 1 
botanical 0 8 
ugi 0 1 
dew 0 1 
scanner 1 0 
Incredible 0 1 
reimbursement 0 1 
OrderErrorAndDebugFixes 0 1 
announcement 1 1 
jytw 0 1 
going 5 7 
%BF%BE%BD% 0 1 
banks 0 2 
carefully 2 3 
paralysis 0 1 
CEO 1 0 
Herb 0 2 
buyer 1 0 
Here 0 12 
Qualification 0 1 
See 0 6 
Experience 0 1 
abelson 0 1 
CDs 2 1 
winfree 1 0 
CFDE 0 1 
areca 0 2 
attitude 0 1 
CFA 1 0 
treatment 0 3 
average 2 0 
compare 0 1 
Set 0 1 
bodies 0 1 
treatable 0 1 
virtues 0 1 
Sex 0 1 
Bible 0 9 
robotics 0 1 
resell 0 3 
Spray 0 2 
investments 1 0 
yesky 0 3 
THE 0 26 
uid 1 0 
journal 2 0 
rmgcsh 0 1 
composition 0 1 
grass 0 1 
uudial 2 0 
wednesday 2 0 
term 2 1 
acquisition 0 2 
rigid 0 1 
brad 1 0 
Logon 0 1 
uit 0 1 
%EB%AB%A 0 1 
Bee 0 1 
business 2 43 
transported 1 0 
staff 1 1 
possible 2 8 
right 6 29 
partly 1 1 
STORY 0 2 
FONT 0 325 
herbaceous 0 2 
gottlob 2 0 
aeschylus 0 1 
returning 1 1 
borrow 0 1 
under 18 11 
did 12 13 
Heavy 0 1 
therapeutics 0 1 
deliverable 0 1 
nuew 0 3 
villarreal 1 0 
div 0 52 
later 3 1 
passport 0 2 
spamassassin 26 0 
Ordering 0 1 
midst 0 2 
forgotten 2 1 
Lack 0 1 
CID 0 2 
possibly 1 0 
Warranty 0 1 
static 0 1 
aiken 0 1 
test 0 1 
avioninc 0 8 
dactylic 0 2 
finally 1 8 
CIO 1 0 
paulson 0 2 
grape 0 1 
Phrase 0 1 
brown 0 1 
scribner 1 0 
ljkadq 0 1 
Area 0 2 
enserch 1 0 
acceptance 1 1 
University 0 3 
impermeable 0 1 
final 4 0 
cinematic 0 1 
expiration 1 1 
%AF%AB%AD%B 0 1 
%A 0 241 
%B 0 64 
%C 0 9 
palate 0 1 
%D 0 9 
%E 0 154 
occasion 0 1 
%F 0 197 
virtual 0 2 
loan 0 5 
Six 0 1 
returnValue 0 2 
uly 0 1 
anita 2 0 
Scalable 1 0 
RATE 0 2 
Corporate 0 2 
back 5 28 
training 0 2 
DJavaScript 0 1 
heavier 0 1 
conjugal 0 1 
states 0 8 
$msg 1 0 
$t 1 0 
kowloon 0 1 
$w 1 0 
load 2 1 
spectroscopy 0 1 
houston 7 1 
ignore 0 1 
company 20 26 
thomas 4 2 
vjbnnj 0 1 
FORM 0 2 
partid 0 1 
relax 0 1 
alkaloids 0 1 
harris 1 1 
length 0 5 
concerns 1 1 
grand 0 3 
uni 0 1 
schedule 1 1 
unk 1 0 
netco 1 0 
@niederhasli 0 1 
stacey 9 0 
grant 0 1 
ludicrous 0 1 
%AD%EC%BF%A 0 1 
showing 2 0 
imformation 0 1 
newsletter 1 30 
hyperirritability 0 1 
suzanne 6 0 
bureaus 0 1 
helping 0 1 
&m 0 3 
&n 0 1 
&o 0 1 
chatty 0 1 
attempt 1 0 
FRESH 0 1 
doesnt 1 0 
elliott 2 0 
December 0 2 
balance 7 2 
randall 1 0 
ELSE 0 2 
Membership 0 9 
astrodome 1 0 
text 23 55 
unseen} 1 0 
Conor 5 0 
made 8 9 
dns 0 1 
pllls 0 1 
being 9 7 
brex 0 1 
Bulk 0 3 
TOP 0 7 
contents 0 4 
TOO 0 1 
ups 0 1 
doc 2 0 
@barge 1 0 
nVwYjuLO 1 0 
tmarain@ecis 0 2 
status 2 0 
trading 4 1 
dol 0 1 
don 16 13 
curve 2 1 
Consumers 0 2 
portugal 0 1 
pllis 0 1 
broth 0 1 
enron 153 0 
ellis 1 0 
dow 5 0 
synergistically 0 1 
%BD%BB%BC%E 0 1 
%FD%FD%E 0 1 
government 0 4 
known 0 4 
oduction 0 1 
stank 0 1 
stand 1 0 
knows 1 1 
Wage 0 1 
cigarette 0 1 
forward 8 3 
ndin 0 5 
%ED%B 0 2 
shona 1 0 
POCKET 0 1 
AFAIK 1 0 
PERSONALIZED 0 1 
%ED%E 0 3 
url 0 2 
squable 0 1 
todays 0 3 
clalis 0 2 
Receivable 0 2 
%ED%EB%B 0 1 
{exec 1 0 
pantomime 0 1 
THAT 0 3 
CPM 0 2 
usa 1 4 
mail 56 128 
subject 45 33 
use 22 36 
Tucson 0 1 
usd 0 13 
CPU 3 0 
edward 3 0 
BUSINESS 0 2 
main 2 1 
webCREDIT 0 7 
liked 0 2 
arrangement 3 0 
revenue 0 2 
cuny 0 1 
strip 2 0 
Porial 0 1 
OmYxICv 1 0 
concentrated 0 1 
Registration 0 1 
adfer@yahoo 0 3 
negotiation 0 1 
TRW 0 1 
pretense 0 1 
lungs 0 2 
logo 0 1 
grain 0 1 
bulblet 0 1 
credit 0 45 
Serif 0 52 
oxygen 0 4 
alter 0 1 
likes 0 2 
macaque 0 1 
approximation 1 0 
AMAZING 0 2 
concentrates 0 1 
wcnwfb 0 1 
bearing 0 1 
includes 0 3 
Box 0 7 
establishment 0 1 
Munn 0 1 
messengers 0 1 
null 0 1 
vspace 0 1 
Price 0 2 
DISC 0 1 
CRC 1 0 
utz 0 1 
dsl 1 1 
Enchantment 0 1 
PLUS 0 5 
UNBELIEVABLE 0 1 
%BF%AD%EE%E 0 1 
HEAD 0 1 
actualizing 1 0 
allocatable 1 0 
%FA%FC%EE%E 0 1 
Canadian 0 1 
APPLICATION 0 1 
cqndgt 0 1 
Clean 1 0 
Information 0 12 
MySiteInc 0 4 
angola 0 1 
stain 0 1 
ball 1 1 
uncommon 0 2 
CSD 0 1 
hither 0 1 
smoking 0 3 
Tien 0 1 
manic 0 1 
Round 0 2 
dth 0 1 
Walt 0 2 
counterparties 4 0 
make 18 30 
included 1 13 
Callaghan 1 0 
sobriety 0 1 
BannerCo 0 4 
%AA%BA%A 0 2 
fmwh 0 1 
qwpfww 0 1 
DeepEddy 3 0 
Tracy 0 1 
Anderson 0 1 
winnings 0 1 
dub 2 0 
outdoor 1 0 
witness 1 0 
due 8 7 
bestseller 0 1 
puffy 0 1 
dWQW 1 0 
waking 1 0 
Shatavari 0 1 
Track 0 2 
PAYABLE 0 3 
CHECKS 0 1 
commit 1 0 
sorrow 0 1 
windowtext 0 10 
THEY 0 1 
Blessings 0 1 
Print 0 3 
happier 6 0 
bank 1 10 
dvd 2 5 
Busi 0 2 
meaning 0 1 
bane 1 0 
cholesterol 0 7 
Want 0 1 
APHRODISIA 0 5 
Relief 0 1 
released 2 0 
boxes 2 1 
Argentina 0 1 
august 1 0 
HxE| 1 0 
PROVIDED 0 1 
%AF%AA%A 0 1 
Sun 32 8 
TWO 0 2 
benefit 5 3 
@bellsouth 0 2 
cybernetic 0 1 
JavaMail 0 3 
highest 0 3 
Enhanced 0 1 
unique 0 4 
THEN 0 2 
THEM 0 3 
sober 3 0 
arsine 0 2 
dwp 0 1 
male 0 3 
ministry 0 5 
CVS 4 0 
HENDRIX 0 1 
cdrw 0 3 
industry 0 4 
Advertise 0 4 
dispersible 0 1 
long 2 11 
remember 3 1 
profane 0 1 
Baker 0 1 
Extractor 0 1 
relationship 0 3 
SEEN 0 2 
Trans 0 1 
workers 24 0 
Reviewed 0 2 
But 1 5 
bother 0 2 
expression 1 0 
Unicorn 0 1 
Buy 2 0 
sticker 0 1 
many 5 16 
cardiovascular 0 2 
Mutt 9 0 
gordon 0 1 
%EA%FD%F 0 1 
maxwell 1 0 
Dioscoreae 0 1 
releases 0 1 
stay 1 1 
controlled 0 1 
dedicate 0 1 
dye 0 1 
listinfo 27 0 
residential 0 1 
stab 0 1 
increasing 0 2 
bogey 0 1 
uifesi 0 2 
dyn 0 3 
stan 2 0 
Event 0 3 
progress 1 0 
SANSSERIF 0 1 
mamma 0 1 
seller 2 0 
iffy 0 1 
treat 0 1 
lasts 0 1 
protects 1 0 
agent 1 0 
woodland 0 1 
skynet 3 0 
numbers 7 3 
seven 0 1 
payouts 0 1 
nominate 1 0 
@linuxmafia 3 0 
Last 1 1 
heckman 0 1 
loop 0 1 
ellipse 0 1 
cheaaatt 0 1 
includingbvicodin 0 1 
bare 1 0 
internecine 0 1 
bard 0 1 
admitted 0 1 
NUMBER 0 1 
complaints 0 1 
KNOW 0 1 
wont 1 3 
vioxx 0 1 
look 7 19 
modification 1 2 
CIRCLE 0 1 
darken 0 1 
grounds 0 1 
achieving 0 1 
disrupt 0 1 
thyroid 0 2 
Humborg 1 0 
THIS 0 21 
carnal 0 1 
snoopy 0 1 
lore 0 1 
%AF%BD%A 0 1 
needed 2 7 
mass 0 5 
Jakma 2 0 
admin 4 0 
Time 0 8 
%BB%EC%A 0 1 
speed 2 0 
jill 2 0 
apple 0 18 
admit 0 1 
common 0 3 
interest 0 5 
China 0 1 
twig 0 1 
finny 0 1 
admin@linux 63 0 
localdomain 3 0 
apply 1 2 
mars 0 1 
politician 0 2 
mary 22 1 
MORTGAGE 0 1 
REPORT 0 1 
informatics 0 1 
Aconite 0 1 
~Consolidate 0 1 
SETUP 0 5 
layout 0 4 
arabesque 0 1 
phentermine 0 1 
Every 0 3 
formula 0 6 
step 0 5 
bash 1 0 
B%BA%AD%A 0 1 
CAPITAL 0 1 
mark 11 0 
base 2 0 
%EB%BF%A 0 3 
requisition 0 1 
dmmwej 0 1 
TABLE 0 4 
loss 0 2 
mbnenbhaa 0 1 
caribbean 0 4 
cipco 1 0 
Laws 0 1 
lost 0 3 
Enet 0 1 
TYPE 0 3 
rrGQ 1 0 
val 0 13 
Vote 0 8 
work 8 17 
var 0 6 
alsmedherbs 0 1 
hlejsh 0 1 
lose 0 2 
utilization 0 1 
A%AD%A 0 2 
pentium 1 0 
rickety 0 1 
gqeb 0 1 
math 2 0 
terminate 1 0 
Amazon 1 0 
word 2 19 
stated 1 3 
uncollectables 0 1 
love 2 9 
contractor 0 4 
vbl 0 1 
alfredo 0 1 
Antiqua 0 3 
architect 0 1 
VERDANA 0 6 
Multiflori 0 2 
foundation 1 2 
across 1 3 
mortgage 0 2 
identity 0 1 
eat 0 2 
impotence 0 1 
okogiq 0 1 
Chavana 0 1 
europe 0 4 
matroid 0 1 
reward 0 2 
HELO 5 2 
bawd 0 1 
F%EC%A 0 1 
DAA 3 1 
SELF 0 2 
converts 1 0 
juice 0 1 
gathering 3 0 
Prize 0 1 
opinion 0 2 
lots 5 3 
devout 0 1 
UCB 0 1 
worldaccessnet 0 1 
exists 0 1 
Klein 0 1 
DAY 0 7 
Tips 0 1 
Tap 0 1 
ecf 6 0 
Tax 0 4 
INTEREST 0 1 
geoposti@uole 0 1 
vec 0 1 
Democrat 0 1 
%AF%AE%AD%AC%AB%AA%A 0 1 
portfolio 0 1 
EXPRESS 0 2 
ect 337 0 
Kletnieks@vt 1 0 
html 2 41 
hunter 2 0 
blockquote 0 6 
exploration 5 0 
vet 2 0 
Americans 0 1 
Resource 0 1 
Licorice 0 1 
SEND 0 3 
Province 0 3 
oo&id 0 3 
weaved 0 1 
uplevel 4 0 
Can 3 7 
visitors 0 2 
uncheered 0 1 
Cas 0 1 
provision 3 0 
Cat 0 1 
edu 3 0 
indigo 9 0 
seems 3 1 
Caz 0 1 
honored 0 1 
ifqe 0 1 
POBOX 0 1 
E%A 0 3 
E%B 0 1 
Unblocking 0 6 
tickets 4 0 
Social] 9 0 
E%E 0 1 
E%F 0 10 
Longan 0 2 
insure 0 1 
transacted 1 0 
htpa 0 1 
platform 0 1 
CONTENTS 0 1 
HERE 0 5 
jackson 3 0 
walking 0 1 
spend 0 2 
Since 3 2 
eex 1 0 
vgn 0 4 
February 0 1 
DED 1 0 
Fruit 0 1 
eff 1 0 
advantage 3 3 
spent 0 1 
stephen 1 0 
Service 3 14 
efi 0 1 
instead 3 5 
UG@ 1 0 
savimbi 0 3 
vhi 0 1 
redesigns 0 2 
exception 0 1 
Delete 0 2 
SCRAMBLER 0 2 
hands 4 1 
Server 1 4 
A% 0 31 
year 5 8 
staying 0 1 
Servers 0 1 
laptop 1 0 
branch 1 4 
handy 1 0 
loook 0 1 
via 7 13 
%BB%AD%A 0 1 
vic 0 1 
neal 3 0 
@Q 1 0 
emergencies 1 0 
REMOVAL 0 4 
cassiekauffman 0 1 
unsubscribe 2 10 
db@ecis 0 1 
awaiting 0 2 
understanding 2 3 
visual 0 2 
neat 0 2 
near 1 2 
vir 0 1 
victims 0 1 
vit 0 1 
BE%A 0 1 
AA 0 1 
vis 4 0 
remedial 0 1 
AC 2 0 
ehe 0 4 
B% 0 13 
AD 0 2 
AE 2 2 
AF 0 1 
Server] 0 1 
Tumbleweed 1 0 
MUCH 1 0 
Discover 0 8 
AM 0 7 
community 1 2 
AN 0 1 
version 6 4 
@m 2 0 
reproductive 0 1 
Exchange 1 17 
planning 0 2 
AS 0 4 
AT 0 1 
stop 0 9 
AU 7 0 
adolescence 0 2 
AY 1 0 
AZ 0 4 
unused 0 2 
vista 1 0 
B@ 1 0 
BA 0 8 
rhythms 0 1 
appropriate 2 1 
BB 1 2 
BC 0 2 
C% 0 30 
BD 4 0 
BE 1 10 
Ad 0 5 
imahotboy@hotmail 0 1 
financier 0 1 
BF 1 1 
Ag 0 1 
least 3 9 
AUTOMATED 0 1 
waider 18 0 
immediately 2 7 
Am 0 2 
Tha 0 1 
An 0 3 
bemadden 0 1 
measurement 1 0 
The 18 59 
BR 0 616 
providedaccount 0 1 
Ar 0 1 
Outbound 1 0 
As 2 10 
Been 0 1 
At 1 2 
realtors 1 0 
Merchant 0 10 
tftd 0 1 
BX 2 0 
BY 0 20 
cisco 0 1 
computers 0 1 
agreed 1 2 
CA 0 9 
CC 4 4 
Thu 12 24 
CD 1 18 
D% 0 19 
brands 0 1 
Be 0 19 
CF 3 1 
mailings 0 8 
learn 0 3 
